gene,log2FC,p_value,ranking_metric
CCNB1,0.3633,0.003747772797212508,2.426226745401059
HTATSF1,0.3056,0.003786242620947376,2.4217915600598694
ZNF473,0.1993,0.003786242620947376,2.4217915600598694
ZNF687,0.2317,0.003825070967949561,2.4173605028102414
TARS2,0.1942,0.003825070967949561,2.4173605028102414
RPN1,0.2197,0.0038642607772502047,2.41293357317289
WDR34,0.3324,0.0038839921541499686,2.4107216560587847
HAUS1,0.2248,0.0039437366384914175,2.404092094813192
CENPU,0.3863,0.003963836165316894,2.4018843042294584
RBM42,0.1719,0.003984028668395272,2.399677545127587
LRRC45,0.2386,0.004004314525759887,2.3974718174471694
SAE1,0.2128,0.004024694116711602,2.395267121127737
PAF1,0.1645,0.0040657360229349165,2.3908608223296546
RCC1,0.2744,0.004170007922616375,2.3798631199074642
APH1A,0.2238,0.004191151190164682,2.377666672291923
LPCAT1,0.4239,0.004191151190164682,2.377666672291923
POLR2K,0.258,0.004298333462415546,2.3666998952035136
MSH2,0.232,0.004407995263495067,2.3557588808166754
HIST3H2BB,0.496,0.004430229567008094,2.3535737687878417
STAT1,0.3842,0.004611795568157183,2.336129952372359
BRIX1,0.2733,0.00463495893408545,2.333954109368263
PPP4C,0.1602,0.00463495893408545,2.333954109368263
FAM111B,0.4843,0.004658227597879103,2.331779295945561
PAXBP1,0.1995,0.004658227597879103,2.331779295945561
ZNF131,0.2171,0.004752363625909055,2.323090336822319
HIST1H2BC,0.253,0.004776165086597908,2.320920670371272
KCNG1,0.6994,0.0048000743777295764,2.318752033127065
PYCR1,0.5132,0.004848218160237235,2.3144178460085434
EHF,0.3367,0.0048967984050413945,2.310087774964888
GPLD1,0.634,0.004921253279225646,2.3079242828140325
MRPL15,0.2231,0.004970494700132657,2.3036003849395144
DNAJB11,0.2332,0.004995282118618683,2.3014399790897673
PSMD8,0.2257,0.005020181259294046,2.2992806018808682
HLCS,0.1762,0.005095553415212962,2.292808641466961
GIT1,0.22,0.005095553415212962,2.292808641466961
TXNL4A,0.185,0.005171946972603262,2.2863459365418084
FAM122B,0.214,0.005249373984743527,2.2798924853906306
RTN3,0.2744,0.00530157213863739,2.275595324759617
PARP1,0.2134,0.005327846619912227,2.2734482862935685
CKS2,0.3419,0.005354238645452549,2.271302275641914
CHEK2,0.1535,0.005380748673089278,2.269157292740638
PRPSAP2,0.169,0.005380748673089278,2.269157292740638
C5orf22,0.1924,0.005380748673089278,2.269157292740638
AKR1B1,0.5829,0.005434124573178686,2.264870409932855
SMC3,0.2276,0.005487978011680835,2.260587637356846
MCM3,0.2557,0.005487978011680835,2.260587637356846
CGN,0.6143,0.005515084967766233,2.2584477922450494
UBALD2,0.2291,0.0056524408209170695,2.2477639758704755
MKRN2,0.1868,0.0056524408209170695,2.2477639758704755
DTX3L,0.2169,0.005680279502375955,2.2456302939803447
RAB3IP,0.4519,0.005708241793052521,2.243497639067479
PSMD11,0.1985,0.005708241793052521,2.243497639067479
CEP78,0.2314,0.005878638133766843,2.2307232724772086
