filename	gene_list_size	cluster_number	cluster_size	n_genes	n_terms	n_edges	n_libraries	density	libraries
permutation_0021	50	3	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0022	50	1	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0022	50	2	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0022	50	3	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0023	50	1	8	5	3	9	3	1.8	C2: CP: KEGG Legacy, C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0023	50	2	5	3	2	6	2	2.0	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0024	50	1	6	4	2	6	2	1.5	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0025	50	1	4	3	1	3	1	1.0	C2: CP: Canonical pathways
permutation_0025	50	2	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0026	50	1	10	8	2	9	2	1.125	C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0026	50	2	9	6	3	10	3	1.6666666666666667	C2: CP: Canonical pathways, C2: CP: KEGG Legacy, C5: GO: Biological Process
permutation_0026	50	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0028	50	1	7	5	2	6	2	1.2	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0028	50	2	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0028	50	3	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0029	50	1	22	16	6	27	4	1.6875	C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function, H: Hallmark Gene Sets
permutation_0029	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0030	50	1	8	5	3	11	3	2.2	C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0030	50	2	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0030	50	3	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0031	50	1	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0033	50	1	8	6	2	7	2	1.1666666666666667	C2: CP: Canonical pathways, C5: GO: Molecular Function
permutation_0033	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0034	50	1	19	14	5	19	5	1.3571428571428572	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function, H: Hallmark Gene Sets
permutation_0035	50	1	11	8	3	10	3	1.25	C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0035	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0036	50	1	12	9	3	12	3	1.3333333333333333	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0036	50	2	9	6	3	9	3	1.5	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0036	50	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0037	50	1	4	3	1	3	1	1.0	C2: CP: WikiPathways
permutation_0038	50	1	5	4	1	4	1	1.0	C5: GO: Molecular Function
permutation_0038	50	2	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0038	50	3	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0039	50	1	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0040	50	1	16	11	5	18	4	1.6363636363636365	C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, H: Hallmark Gene Sets
permutation_0040	50	2	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0040	50	3	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0041	50	1	10	7	3	11	3	1.5714285714285714	C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0041	50	2	6	4	2	7	2	1.75	C2: CP: Pathway Interaction Database, H: Hallmark Gene Sets
permutation_0043	50	1	8	6	2	7	2	1.1666666666666667	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0043	50	2	7	5	2	6	2	1.2	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0043	50	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0044	50	1	17	13	4	17	2	1.3076923076923077	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0044	50	2	6	4	2	6	2	1.5	C2: CP: Canonical pathways, C5: GO: Molecular Function
permutation_0045	50	1	8	6	2	8	2	1.3333333333333333	C5: GO: Biological Process, H: Hallmark Gene Sets
permutation_0046	50	1	29	18	11	37	8	2.0555555555555554	C2: CP: Canonical pathways, C2: CP: KEGG Legacy, C2: CP: Pathway Interaction Database, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
